Gene.Name	Con1-Con2_log2.fold.change	Con1-Con2_p.adj
gene758	0.54082838	0.003582636
gene759	0.431457809	0.003504297
gene760	-0.566358434	0.003988456
gene761	-0.382261496	0.003425774
gene762	0.857583661	0.006140209
gene763	0.498615338	0.003668245
gene764	0.867220878	0.008031079
gene765	-0.951551061	0.003882293
gene766	0.429802865	0.003482268
gene767	0.355900558	0.003486501
gene768	0.709599437	0.005983454
gene769	0.42792412	0.003519539
gene770	-0.39240013	0.003520776
gene771	-0.73308126	0.004145088
gene772	-0.509012716	0.006144869
gene773	0.562407662	0.003740458
gene774	-0.378196585	0.003896731
gene775	0.465032195	0.003651239
gene776	0.685603592	0.003964206
gene777	0.598077395	0.006390351
gene778	0.380723079	0.003714706
gene779	0.30529542	0.003727665
gene780	-0.426068042	0.004371972
gene781	-0.354336368	0.004079481
gene782	0.679587753	0.004414384
gene783	0.920937273	0.005067607
gene784	0.646787013	0.010428926
gene785	-0.972618999	0.004163199
gene786	-0.498062978	0.003958049
gene787	0.85052695	0.013662124
gene788	-0.566975009	0.004445951
gene789	-0.407362317	0.004063475
gene790	-0.323935116	0.004074054
gene791	-0.353854362	0.004180116
gene792	0.524172157	0.004079481
gene793	-0.599098388	0.004387364
gene794	0.459385532	0.006414313
gene795	-0.652566356	0.007115557
gene796	0.532486216	0.007129559
gene797	0.7852169	0.008051247
gene798	0.67106365	0.006033959
gene799	0.382726689	0.004660595
gene800	-0.231549434	0.004284872
gene801	0.257248852	0.004292355
gene802	0.866946906	0.006166344
gene803	0.554482878	0.004313711
gene804	-0.866460956	0.005868083
gene805	-0.389004378	0.004371972
gene806	0.97211925	0.004394855
gene807	-0.554755984	0.004942827
gene808	0.617101612	0.00476535
gene809	-0.535170403	0.007701473
gene810	1.172059229	0.006470703
gene811	0.952275421	0.015475222
gene812	-0.437785251	0.004552071
gene813	-0.533275289	0.007811177
gene814	0.544465344	0.004739987
gene815	0.360767124	0.00476535
gene816	-0.60157324	0.005159293
gene817	0.944221471	0.008312758
gene818	0.789850903	0.009396644
gene819	0.48441904	0.006282304
gene820	-1.230048463	0.024013223
